Datetime,Close,High,Low,Open,Volume
,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD
2025-05-08 00:00:00+00:00,97621.1875,97621.1875,96926.1796875,97037.6875,0
2025-05-08 01:00:00+00:00,97800.9296875,98270.609375,97695.09375,97759.6796875,3705528320
2025-05-08 02:00:00+00:00,98683.1171875,98826.703125,97835.8203125,97835.8203125,0
2025-05-08 03:00:00+00:00,99143.9921875,99143.9921875,98568.3515625,98694.4140625,0
2025-05-08 04:00:00+00:00,98968.3671875,99386.75,98968.3671875,99150.4375,3603525632
2025-05-08 05:00:00+00:00,98761.0234375,99091.8359375,98761.0234375,99022.1015625,1981464576
2025-05-08 06:00:00+00:00,99021.8359375,99021.8359375,98761.640625,98774.703125,112226304
2025-05-08 07:00:00+00:00,99259.609375,99365.765625,99040.234375,99040.234375,2037669888
2025-05-08 08:00:00+00:00,99718.34375,99761.375,99232.8359375,99261.2421875,582873088
2025-05-08 09:00:00+00:00,99769.8515625,99819.828125,99569.6171875,99690.71875,648151040
2025-05-08 10:00:00+00:00,99860.5,99860.5,99708.7734375,99811.53125,1377382400
2025-05-08 11:00:00+00:00,99445.6796875,99819.171875,99445.6796875,99819.171875,0
2025-05-08 12:00:00+00:00,99307.0078125,99539.140625,99282.796875,99442.78125,1177890816
2025-05-08 13:00:00+00:00,99293.3515625,99649.7890625,99122.6796875,99307.734375,0
2025-05-08 14:00:00+00:00,99494.28125,99814.9296875,99224.1328125,99316.0546875,0
2025-05-08 15:00:00+00:00,100842.921875,101513.40625,99389.421875,99389.421875,3311718400
2025-05-08 16:00:00+00:00,101323.0546875,101364.90625,100631.5234375,101013.0859375,4141858816
2025-05-08 17:00:00+00:00,101029.6328125,101688.53125,100964.9609375,101310.4921875,1190957056
2025-05-08 18:00:00+00:00,101381.859375,101451.3125,101044.03125,101044.03125,0
2025-05-08 19:00:00+00:00,101135.890625,101362.0859375,101053.6796875,101351.9375,277065728
2025-05-08 20:00:00+00:00,102553.375,102762.6484375,101286.3515625,101286.3515625,1856372736
2025-05-08 21:00:00+00:00,102775.4921875,103776.3203125,102209.921875,102611.0234375,2127085568
2025-05-08 22:00:00+00:00,102914.453125,103180.5859375,102453.1171875,102815.046875,4125069312
2025-05-08 23:00:00+00:00,103174.828125,103234.4921875,102819.3828125,102969.6328125,554737664
2025-05-09 00:00:00+00:00,102757.4453125,103256.203125,102610.140625,103256.203125,0
2025-05-09 01:00:00+00:00,103076.3046875,103076.3046875,102594.796875,102807.9609375,0
2025-05-09 02:00:00+00:00,102526.640625,103088.3828125,102526.640625,103088.3828125,0
2025-05-09 03:00:00+00:00,102404.171875,102777.3671875,102356.9375,102559.078125,289488896
2025-05-09 04:00:00+00:00,102781.3359375,102781.3359375,102378.6171875,102427.640625,0
2025-05-09 05:00:00+00:00,102936.296875,102944.625,102601.8046875,102799.7265625,0
2025-05-09 06:00:00+00:00,103194.921875,103234.6328125,102920.5390625,102947.703125,0
2025-05-09 07:00:00+00:00,103727.40625,104178.1171875,103151.671875,103210.140625,2758832128
2025-05-09 08:00:00+00:00,102924.234375,103875.1640625,102782.1640625,103704.4609375,2497691648
2025-05-09 09:00:00+00:00,102919.921875,103217.1484375,102480.7109375,102988.7890625,936583168
2025-05-09 10:00:00+00:00,103404.546875,103418.4375,102867.2578125,102918.90625,881270784
